"FIELD_DBNAME";"FIELD_NAME";"FIELD_TYPE";"LEFT";"TOP";"RIGHT";"BOTTOM";"NUMBER";"USE_DEFAULTS";"LANGUAGE";"TEXT_TYPE";"MARKING_TYPE";"MARKING_BOX_NUMBER";"EXPORTED";"ONE_LINE_FIELD";"USER_PATTERN";"CASE_MODE";"IDENTIFY_VALUE";"ERROR_LEVEL";"STANDARD_PATTERN";"CLEAN_IMAGE";"ALLOW_SPACES";"LOCALY_ADJUST";"VERIFICATION_LEVEL";"VERIFICATION_FRAGMENT";"GROUP_VERIFICATION_MODE";"BARCODETYPE";"INPUT_MASK";"PREDEFINED_FIELD_TYPE";"BOX_ID";"PARENT_RADIOGROUP_BOX_ID";"CUSTOM_DATA"
"";"";"FT_DEFAULT";"-1";"-1";"-1";"-1";"-1";"-1";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"-1";"-1";"-1";"";"CM_SMALL";"";"";"1";"0";"1";"-1";"VL_ERRORS_ONLY";"";"0";"";"";"";"-1";"-1";"0"
"Номер_изображения";"Номер_изображения";"FT_PREDEFINED";"0";"0";"0";"0";"0";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_PAGE_NUMBER";"8435";"-1";"0"
"Код_1";"Код_1";"FT_BARCODE";"136";"519";"875";"704";"1";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"B_EAN13";"";"";"6";"-1";"0"
"Код_2";"Код_2";"FT_BARCODE";"2206";"78";"2404";"714";"2";"-1";"";"";"";"-1";"0";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"B_EAN13";"";"";"7";"-1";"0"
"Регион";"Регион";"FT_TEXT";"536";"346";"682";"448";"3";"0";"Русский\Число\Положительное целое (ровно две цифры)";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_DELAYED";"VF_WHOLLY";"0";"";"";"";"8";"-1";"0"
"Код_ОУ";"Код_ОУ";"FT_TEXT";"756";"344";"1152";"443";"4";"0";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"9";"-1";"0"
"Класс";"Класс";"FT_TEXT";"1235";"346";"1438";"448";"5";"0";"Русский\Класс";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ERRORS_ONLY";"VF_WHOLLY";"0";"";"";"";"10";"-1";"0"
"Код_ППЭ";"Код_ППЭ";"FT_TEXT";"1581";"343";"1852";"446";"6";"0";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ERRORS_ONLY";"VF_WHOLLY";"0";"";"";"";"11";"-1";"0"
"Аудитория";"Аудитория";"FT_TEXT";"1881";"341";"2154";"444";"7";"0";"Русский\Служебные\Аудитория";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ERRORS_ONLY";"VF_WHOLLY";"0";"";"";"";"12";"-1";"0"
"Код_предмета";"Код_предмета";"FT_TEXT";"929";"568";"1072";"666";"8";"0";"Русский\Число\Положительное целое (ровно две цифры)";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_DELAYED";"VF_WHOLLY";"0";"";"";"";"13";"-1";"0"
"Название_предмета";"Название_предмета";"FT_TEXT";"1118";"561";"1335";"670";"9";"0";"Русский\Служебные\Название_предмета";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_DELAYED";"VF_WHOLLY";"0";"";"";"";"14";"-1";"0"
"Номер_варианта";"Номер_варианта";"FT_PREDEFINED";"0";"0";"0";"0";"10";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_EMPTY";"8440";"-1";"0"
