"RULE_ID";"RULE_NAME";"RULE_TYPE";"RULE_CERTAIN";"RULE_ENABLED";"RULE_TYPE_NAME"
"286033";"Регион";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"286036";"МОУО";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"286039";"ППЭ";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"286042";"Дата_экз";"CDateNormalizerRule";"0";"1";"Нормализация и проверка даты"
"286045";"Спецпакеты по 15 ИК(drop)";"CSymbolsSubstitutionRule";"0";"1";"Замена символов из списка"
"286048";"Спецпакеты по 15 ИК - 0";"CExpressionRule";"0";"1";"Проверка с условием"
"286051";"Спецпакеты по 15 ИК";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"286054";"Спецпакеты по 5 ИК(drop)";"CSymbolsSubstitutionRule";"0";"1";"Замена символов из списка"
"286057";"Спецпакеты по 5 ИК - 0";"CExpressionRule";"0";"1";"Проверка с условием"
"286060";"Спецпакеты по 5 ИК";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"286063";"Неиспользовано по 15 ИК(drop)";"CSymbolsSubstitutionRule";"0";"1";"Замена символов из списка"
"286066";"Неиспользовано по 15 ИК - 0";"CExpressionRule";"0";"1";"Проверка с условием"
"286069";"Неиспользовано по 15 ИК";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"286072";"Неиспользовано по 5 ИК(drop)";"CSymbolsSubstitutionRule";"0";"1";"Замена символов из списка"
"286075";"Неиспользовано по 5 ИК - 0";"CExpressionRule";"0";"1";"Проверка с условием"
"286078";"Неиспользовано по 5 ИК";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"286081";"Неиспользовано инд.компл.(drop)";"CSymbolsSubstitutionRule";"0";"1";"Замена символов из списка"
"286084";"Неиспользовано инд.компл. - 0";"CExpressionRule";"0";"1";"Проверка с условием"
"286087";"Неиспользовано инд.компл.";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"286090";"Заменено инд.компл.(drop)";"CSymbolsSubstitutionRule";"0";"1";"Замена символов из списка"
"286093";"Заменено инд.компл. - 0";"CExpressionRule";"0";"1";"Проверка с условием"
"286096";"Заменено инд.компл.";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"286099";"Ауд1";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"286102";"Ауд2";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"286105";"Ауд3";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"286108";"Ауд4";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"286111";"Ауд5";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"286114";"Ауд6";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"286117";"Ауд7";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
