"FIELD_DBNAME";"FIELD_NAME";"FIELD_TYPE";"LEFT";"TOP";"RIGHT";"BOTTOM";"NUMBER";"USE_DEFAULTS";"LANGUAGE";"TEXT_TYPE";"MARKING_TYPE";"MARKING_BOX_NUMBER";"EXPORTED";"ONE_LINE_FIELD";"USER_PATTERN";"CASE_MODE";"IDENTIFY_VALUE";"ERROR_LEVEL";"STANDARD_PATTERN";"CLEAN_IMAGE";"ALLOW_SPACES";"LOCALY_ADJUST";"VERIFICATION_LEVEL";"VERIFICATION_FRAGMENT";"GROUP_VERIFICATION_MODE";"BARCODETYPE";"INPUT_MASK";"PREDEFINED_FIELD_TYPE";"BOX_ID";"PARENT_RADIOGROUP_BOX_ID";"CUSTOM_DATA"
"";"";"FT_DEFAULT";"-1";"-1";"-1";"-1";"-1";"-1";"Russian";"TT_HANDPRINT";"MT_SIMPLEMONOSPACE";"-1";"-1";"-1";"";"CM_AUTO";"";"";"1";"1";"0";"-1";"VL_ERRORS_ONLY";"";"0";"";"";"";"-1";"-1";"0"
"Регион";"Регион";"FT_TEXT";"83";"200";"341";"316";"0";"0";"Русский\Число\Положительное целое (только цифры)";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"1";"";"";"";"1";"-1";"0"
"Код_ОУ";"Код_ОУ";"FT_TEXT";"353";"200";"606";"316";"1";"0";"Русский\Число\Положительное целое (только цифры)";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"312";"-1";"0"
"Код_ППЭ";"Код_ППЭ";"FT_TEXT";"617";"202";"874";"316";"2";"0";"Русский\Число\Положительное целое (только цифры)";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"314";"-1";"0"
"Количество_аудиторий";"Количество_аудиторий";"FT_TEXT";"1058";"206";"1458";"308";"3";"0";"Русский\Число\Положительное целое (только цифры)";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"1";"";"";"";"316";"-1";"0"
"Дата";"Дата";"FT_TEXT";"1642";"200";"2401";"313";"4";"0";"Русский\Дата\Полная дата\ДД-ММ-ГГГГ";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"318";"-1";"0"
"CertificateNum";"№ удостоверения";"FT_TEXT";"382";"698";"1032";"794";"5";"0";"Русский\Число\Положительное целое (только цифры)";"TT_HANDPRINT";"MT_SIMPLEMONOSPACE";"0";"1";"1";"";"CM_AUTO";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ERRORS_ONLY";"VF_WORD";"0";"";"";"";"738";"-1";"0"
"StartTime";"Время начала наблюдения";"FT_TEXT";"524";"804";"888";"896";"6";"0";"Русский\Время";"TT_GROUP1";"MT_SIMPLEMONOSPACE";"0";"1";"1";"";"CM_AUTO";"";"EL_STANDARD";"1";"0";"0";"1";"VL_ERRORS_ONLY";"VF_WORD";"0";"";"";"";"741";"-1";"0"
"EndTime";"Время окончания наблюдения";"FT_TEXT";"2032";"798";"2396";"893";"7";"0";"Русский\Время";"TT_HANDPRINT";"MT_SIMPLEMONOSPACE";"0";"1";"1";"";"CM_AUTO";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ERRORS_ONLY";"VF_WORD";"0";"";"";"";"742";"-1";"0"
"q_01";"q_01";"FT_CHECKMARK";"2312";"925";"2374";"991";"8";"0";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"VL_ERRORS_ONLY";"";"-1";"";"";"";"743";"-1";"0"
