Номер_изображения;Код_1;Код_2;Регион;Код_предмета;Название_предмета;Отв_лицо;Следующий_бланк;Номер_Листа;РезервVI;Область_печати;Инфо
2;2949907326517;2949907326517;38;02;Математика профильная;;;2;;;29499073265172920257872510B2AC73316E0E967020BFDEA2E78E07FE69F515151F51427513B751601
4;2949941870830;2949941870830;38;02;Математика профильная;;;2;;;29499418708302920231660881E47E065C495844054D98887092E320A8BB8078324983371834E182738
