"RULE_ID";"RULE_NAME";"RULE_TYPE";"RULE_CERTAIN";"RULE_ENABLED";"RULE_TYPE_NAME"
"128650";"Barcode_Symbol_1";"CRegularExpressionRule";"0";"0";"Регулярное выражение"
"128653";"Barcode_Symbol_2";"CRegularExpressionRule";"0";"0";"Регулярное выражение"
"128656";"BarCode";"CExpressionRule";"0";"1";"Проверка с условием"
"128659";"Штрих-код";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"128662";"Назв.Предмета";"CExpressionRule";"1";"1";"Проверка с условием"
"128665";"BarCode1";"CExpressionRule";"0";"1";"Проверка с условием"
