"FIELD_DBNAME";"FIELD_NAME";"FIELD_TYPE";"LEFT";"TOP";"RIGHT";"BOTTOM";"NUMBER";"USE_DEFAULTS";"LANGUAGE";"TEXT_TYPE";"MARKING_TYPE";"MARKING_BOX_NUMBER";"EXPORTED";"ONE_LINE_FIELD";"USER_PATTERN";"CASE_MODE";"IDENTIFY_VALUE";"ERROR_LEVEL";"STANDARD_PATTERN";"CLEAN_IMAGE";"ALLOW_SPACES";"LOCALY_ADJUST";"VERIFICATION_LEVEL";"VERIFICATION_FRAGMENT";"GROUP_VERIFICATION_MODE";"BARCODETYPE";"INPUT_MASK";"PREDEFINED_FIELD_TYPE";"BOX_ID";"PARENT_RADIOGROUP_BOX_ID";"CUSTOM_DATA"
"";"";"FT_DEFAULT";"-1";"-1";"-1";"-1";"-1";"-1";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"-1";"-1";"-1";"";"CM_SMALL";"";"";"1";"0";"1";"-1";"VL_ALL_CHARS";"";"0";"";"";"";"-1";"-1";"0"
"Номер_изображения";"Номер_изображения";"FT_PREDEFINED";"0";"0";"0";"0";"0";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_PAGE_NUMBER";"81744";"-1";"0"
"Код_1";"Код_1";"FT_BARCODE";"102";"510";"842";"672";"1";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"B_EAN13";"";"";"843";"-1";"0"
"Код_2";"Код_2";"FT_BARCODE";"2236";"88";"2392";"682";"2";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"B_EAN13";"";"";"844";"-1";"0"
"Регион";"Регион";"FT_TEXT";"648";"278";"784";"372";"3";"0";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_DELAYED";"VF_WHOLLY";"0";"";"";"";"840";"-1";"0"
"Код_предмета";"Код_предмета";"FT_TEXT";"922";"279";"1062";"372";"4";"0";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_DELAYED";"VF_WHOLLY";"0";"";"";"";"841";"-1";"0"
"Название_предмета";"Название_предмета";"FT_TEXT";"1211";"278";"1413";"371";"5";"0";"Русский\Служебные\Название_предмета";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_DELAYED";"VF_WHOLLY";"0";"";"";"";"842";"-1";"0"
"Отв_лицо";"Отв_лицо";"FT_PREDEFINED";"0";"0";"0";"0";"6";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_EMPTY";"81746";"-1";"0"
"Следующий_бланк";"Следующий_бланк";"FT_TEXT";"898";"390";"1759";"484";"7";"1";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"0";"";"";"";"81737";"-1";"0"
"Номер_Листа";"Номер_Листа";"FT_TEXT";"1973";"389";"2178";"481";"8";"1";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"0";"";"";"";"81738";"-1";"0"
