"RULE_ID";"RULE_NAME";"RULE_TYPE";"RULE_CERTAIN";"RULE_ENABLED";"RULE_TYPE_NAME"
"128912";"BarCode";"CExpressionRule";"1";"0";"Проверка с условием"
"128915";"Barcode_Symbol";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"128918";"Очистка лок.номера";"CExpressionRule";"0";"0";"Проверка с условием"
"128921";"BarCode1";"CExpressionRule";"0";"1";"Проверка с условием"
