Номер_изображения;Код_1;Регион;Код_предмета;Название_предмета;Отв_лицо;Следующий_бланк;Номер_Листа;РезервVI;Область_печати;Номер_варианта;Штрих_код;Инфо
1;2920257872510;38;02;Математика профильная;;2949907326517;1;;;203;2920257872510;29202578725100000000072504E6AC0671695A960560B88AA292CE00AA698055124B51373514E351155
3;2920231660881;38;02;Математика профильная;;2949941870830;1;;;204;2920231660881;29202316608810000000060884F475175CF8484F144D29987B83E391B8B09178835988261885F189628
