"RULE_ID";"RULE_NAME";"RULE_TYPE";"RULE_CERTAIN";"RULE_ENABLED";"RULE_TYPE_NAME"
"128020";"Barcode_Symbol_1";"CRegularExpressionRule";"0";"0";"Регулярное выражение"
"128023";"Barcode_Symbol_2";"CRegularExpressionRule";"0";"0";"Регулярное выражение"
"128026";"BarCode";"CExpressionRule";"0";"1";"Проверка с условием"
"128029";"Штрих-код";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"128032";"Назв.Предмета";"CExpressionRule";"1";"1";"Проверка с условием"
"128035";"BarCode1";"CExpressionRule";"0";"1";"Проверка с условием"
