"FIELD_DBNAME";"FIELD_NAME";"FIELD_TYPE";"LEFT";"TOP";"RIGHT";"BOTTOM";"NUMBER";"USE_DEFAULTS";"LANGUAGE";"TEXT_TYPE";"MARKING_TYPE";"MARKING_BOX_NUMBER";"EXPORTED";"ONE_LINE_FIELD";"USER_PATTERN";"CASE_MODE";"IDENTIFY_VALUE";"ERROR_LEVEL";"STANDARD_PATTERN";"CLEAN_IMAGE";"ALLOW_SPACES";"LOCALY_ADJUST";"VERIFICATION_LEVEL";"VERIFICATION_FRAGMENT";"GROUP_VERIFICATION_MODE";"BARCODETYPE";"INPUT_MASK";"PREDEFINED_FIELD_TYPE";"BOX_ID";"PARENT_RADIOGROUP_BOX_ID";"CUSTOM_DATA"
"";"";"FT_DEFAULT";"-1";"-1";"-1";"-1";"-1";"-1";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"-1";"-1";"-1";"";"CM_SMALL";"";"";"1";"0";"1";"-1";"VL_ERRORS_ONLY";"";"0";"";"";"";"-1";"-1";"0"
"Номер_изображения";"Номер_изображения";"FT_PREDEFINED";"0";"0";"0";"0";"0";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_PAGE_NUMBER";"6806";"-1";"0"
"Код_1";"Код_1";"FT_BARCODE";"82";"511";"837";"685";"1";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"B_EAN13";"";"";"2076";"-1";"0"
"Код_2";"Код_2";"FT_BARCODE";"2252";"80";"2417";"708";"2";"-1";"";"";"";"-1";"0";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"B_EAN13";"";"";"2077";"-1";"0"
"Регион";"Регион";"FT_TEXT";"569";"301";"710";"397";"3";"0";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_DELAYED";"VF_WHOLLY";"0";"";"";"";"2078";"-1";"0"
"Код_предмета";"Код_предмета";"FT_TEXT";"770";"301";"908";"397";"4";"0";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_DELAYED";"VF_WHOLLY";"0";"";"";"";"2079";"-1";"0"
"Название_предмета";"Название_предмета";"FT_TEXT";"977";"301";"1180";"394";"5";"0";"Русский\Служебные\Название_предмета";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_DELAYED";"VF_WHOLLY";"0";"";"";"";"2080";"-1";"0"
"Номер_варианта";"Номер_варианта";"FT_PREDEFINED";"0";"0";"0";"0";"6";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_EMPTY";"6810";"-1";"0"
"РезервV";"РезервV";"FT_TEXT";"1938";"298";"2138";"394";"7";"0";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"2081";"-1";"0"
"В01";"В01";"FT_TEXT";"159";"860";"1233";"957";"8";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4385";"-1";"0"
"В02";"В02";"FT_TEXT";"159";"957";"1232";"1047";"9";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4386";"-1";"0"
"В03";"В03";"FT_TEXT";"159";"1047";"1235";"1139";"10";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4387";"-1";"0"
"В04";"В04";"FT_TEXT";"159";"1139";"1234";"1231";"11";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4388";"-1";"0"
"В05";"В05";"FT_TEXT";"159";"1231";"1232";"1327";"12";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4389";"-1";"0"
"В06";"В06";"FT_TEXT";"158";"1349";"1238";"1443";"13";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4390";"-1";"0"
"В07";"В07";"FT_TEXT";"158";"1443";"1238";"1536";"14";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4391";"-1";"0"
"В08";"В08";"FT_TEXT";"158";"1536";"1238";"1628";"15";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4392";"-1";"0"
"В09";"В09";"FT_TEXT";"158";"1628";"1238";"1720";"16";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4393";"-1";"0"
"В10";"В10";"FT_TEXT";"158";"1720";"1238";"1815";"17";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4394";"-1";"0"
"В11";"В11";"FT_TEXT";"159";"1847";"1234";"1942";"18";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4395";"-1";"0"
"В12";"В12";"FT_TEXT";"159";"1942";"1234";"2034";"19";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4396";"-1";"0"
"В13";"В13";"FT_TEXT";"159";"2034";"1235";"2125";"20";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6791";"-1";"0"
"В14";"В14";"FT_TEXT";"159";"2125";"1233";"2217";"21";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6790";"-1";"0"
"В15";"В15";"FT_TEXT";"159";"2217";"1235";"2314";"22";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6789";"-1";"0"
"В16";"В16";"FT_TEXT";"158";"2336";"1239";"2431";"23";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6788";"-1";"0"
"В17";"В17";"FT_TEXT";"158";"2431";"1239";"2523";"24";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6787";"-1";"0"
"В18";"В18";"FT_TEXT";"158";"2523";"1239";"2615";"25";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6786";"-1";"0"
"В19";"В19";"FT_TEXT";"158";"2615";"1239";"2706";"26";"0";"0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6785";"-1";"0"
"В20";"В20";"FT_TEXT";"158";"2706";"1239";"2801";"27";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6784";"-1";"0"
"Замена_задание_В01";"Замена_задание_В01";"FT_TEXT";"130";"2919";"248";"3010";"28";"0";"Замена В";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4397";"-1";"0"
"Замена_ответ_В01";"Замена_ответ_В01";"FT_TEXT";"272";"2917";"1237";"3007";"29";"0";"0-9,-|0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4398";"-1";"0"
"Замена_задание_В02";"Замена_задание_В02";"FT_TEXT";"127";"3010";"249";"3099";"30";"0";"Замена В";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4399";"-1";"0"
"Замена_ответ_В02";"Замена_ответ_В02";"FT_TEXT";"271";"3007";"1236";"3097";"31";"0";"0-9,-|0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4400";"-1";"0"
"Замена_задание_В03";"Замена_задание_В03";"FT_TEXT";"128";"3097";"248";"3186";"32";"0";"Замена В";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6762";"-1";"0"
"Замена_ответ_В03";"Замена_ответ_В03";"FT_TEXT";"270";"3098";"1235";"3186";"33";"0";"0-9,-|0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6764";"-1";"0"
"Замена_задание_В04";"Замена_задание_В04";"FT_TEXT";"1296";"2919";"1418";"3008";"34";"0";"Замена В";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6763";"-1";"0"
"Замена_ответ_В04";"Замена_ответ_В04";"FT_TEXT";"1438";"2918";"2399";"3007";"35";"0";"0-9,-|0-9";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"6765";"-1";"0"
