"FIELD_DBNAME";"FIELD_NAME";"FIELD_TYPE";"LEFT";"TOP";"RIGHT";"BOTTOM";"NUMBER";"USE_DEFAULTS";"LANGUAGE";"TEXT_TYPE";"MARKING_TYPE";"MARKING_BOX_NUMBER";"EXPORTED";"ONE_LINE_FIELD";"USER_PATTERN";"CASE_MODE";"IDENTIFY_VALUE";"ERROR_LEVEL";"STANDARD_PATTERN";"CLEAN_IMAGE";"ALLOW_SPACES";"LOCALY_ADJUST";"VERIFICATION_LEVEL";"VERIFICATION_FRAGMENT";"GROUP_VERIFICATION_MODE";"BARCODETYPE";"INPUT_MASK";"PREDEFINED_FIELD_TYPE";"BOX_ID";"PARENT_RADIOGROUP_BOX_ID";"CUSTOM_DATA"
"";"";"FT_DEFAULT";"-1";"-1";"-1";"-1";"-1";"-1";"Russian";"TT_HANDPRINT";"MT_SIMPLEMONOSPACE";"-1";"-1";"-1";"";"CM_AUTO";"";"";"1";"1";"0";"-1";"VL_ERRORS_ONLY";"";"0";"";"";"";"-1";"-1";"0"
"Регион";"Регион";"FT_TEXT";"414";"65";"670";"183";"0";"0";"Русский\Число\Положительное целое (только цифры)";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"1";"";"";"";"198";"-1";"0"
"Код_ОУ";"Код_ОУ";"FT_TEXT";"684";"68";"942";"184";"1";"0";"Русский\Число\Положительное целое (только цифры)";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"1";"";"";"";"199";"-1";"0"
"Код_ППЭ";"Код_ППЭ";"FT_TEXT";"948";"70";"1203";"184";"2";"0";"Русский\Число\Положительное целое (только цифры)";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"1";"";"";"";"200";"-1";"0"
"Код_предмета";"Код_предмета";"FT_TEXT";"1308";"74";"1556";"186";"3";"0";"Русский\Число\Положительное целое (только цифры)";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"1";"";"";"";"201";"-1";"0"
"Название_предмета";"Название_предмета";"FT_TEXT";"1561";"75";"1843";"190";"4";"0";"Русский\Название_предмета";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"0";"";"";"";"202";"-1";"0"
"Дата";"Дата";"FT_TEXT";"1944";"71";"2701";"188";"5";"0";"Русский\Дата\Полная дата\ДД-ММ-ГГГГ";"TT_STR_NORMAL";"MT_SIMPLEMONOSPACE";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"203";"-1";"0"
"Получено_15";"Получено_15";"FT_TEXT";"393";"443";"579";"525";"6";"0";"Русский\Число\ЧастьI";"TT_HANDPRINT";"MT_SIMPLEMONOSPACE";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"577";"-1";"0"
"Получено_5";"Получено_5";"FT_TEXT";"969";"445";"1160";"524";"7";"0";"Русский\Число\ЧастьI";"TT_HANDPRINT";"MT_SIMPLEMONOSPACE";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"578";"-1";"0"
"НеИспольз_15";"НеИспольз_15";"FT_TEXT";"1475";"444";"1665";"526";"8";"0";"Русский\Число\ЧастьI";"TT_HANDPRINT";"MT_SIMPLEMONOSPACE";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"579";"-1";"0"
