"FIELD_DBNAME";"FIELD_NAME";"FIELD_TYPE";"LEFT";"TOP";"RIGHT";"BOTTOM";"NUMBER";"USE_DEFAULTS";"LANGUAGE";"TEXT_TYPE";"MARKING_TYPE";"MARKING_BOX_NUMBER";"EXPORTED";"ONE_LINE_FIELD";"USER_PATTERN";"CASE_MODE";"IDENTIFY_VALUE";"ERROR_LEVEL";"STANDARD_PATTERN";"CLEAN_IMAGE";"ALLOW_SPACES";"LOCALY_ADJUST";"VERIFICATION_LEVEL";"VERIFICATION_FRAGMENT";"GROUP_VERIFICATION_MODE";"BARCODETYPE";"INPUT_MASK";"PREDEFINED_FIELD_TYPE";"BOX_ID";"PARENT_RADIOGROUP_BOX_ID";"CUSTOM_DATA"
"";"";"FT_DEFAULT";"-1";"-1";"-1";"-1";"-1";"-1";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"-1";"-1";"-1";"";"CM_SMALL";"";"";"1";"0";"1";"-1";"VL_ERRORS_ONLY";"";"0";"";"";"";"-1";"-1";"0"
"Номер_изображения";"Номер_изображения";"FT_PREDEFINED";"1032";"64";"1102";"90";"0";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_PAGE_NUMBER";"7618";"-1";"0"
"Код_1";"Код_1";"FT_BARCODE";"84";"509";"818";"683";"1";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"B_EAN13";"";"";"2076";"-1";"0"
"Код_2";"Код_2";"FT_BARCODE";"2252";"88";"2416";"712";"2";"-1";"";"";"";"-1";"0";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"B_EAN13";"";"";"2077";"-1";"0"
"Регион";"Регион";"FT_TEXT";"570";"300";"711";"396";"3";"0";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_DELAYED";"VF_WHOLLY";"0";"";"";"";"2078";"-1";"0"
"Код_предмета";"Код_предмета";"FT_TEXT";"771";"301";"909";"397";"4";"0";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_DELAYED";"VF_WHOLLY";"0";"";"";"";"2079";"-1";"0"
"Название_предмета";"Название_предмета";"FT_TEXT";"974";"298";"1182";"394";"5";"0";"Русский\Служебные\Название_предмета";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_DELAYED";"VF_WHOLLY";"0";"";"";"";"2080";"-1";"0"
"Номер_варианта";"Номер_варианта";"FT_PREDEFINED";"0";"0";"0";"0";"6";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_EMPTY";"6810";"-1";"0"
"РезервV";"РезервV";"FT_TEXT";"1938";"298";"2142";"394";"7";"0";"Русский\Служебные\Только цифры";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"2081";"-1";"0"
"В01";"В01";"FT_TEXT";"159";"862";"1232";"954";"8";"0";"0-9,-";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"0";"";"";"";"4385";"-1";"0"
