"RULE_ID";"RULE_NAME";"RULE_TYPE";"RULE_CERTAIN";"RULE_ENABLED";"RULE_TYPE_NAME"
"128368";"Barcode_Symbol_1";"CRegularExpressionRule";"0";"0";"Регулярное выражение"
"128371";"Barcode_Symbol_2";"CRegularExpressionRule";"0";"0";"Регулярное выражение"
"128374";"BarCode";"CExpressionRule";"0";"1";"Проверка с условием"
"128377";"Штрих-код";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"128380";"Назв.Предмета";"CExpressionRule";"1";"1";"Проверка с условием"
"128383";"BarCode1";"CExpressionRule";"0";"1";"Проверка с условием"
