"FIELD_DBNAME";"FIELD_NAME";"FIELD_TYPE";"LEFT";"TOP";"RIGHT";"BOTTOM";"NUMBER";"USE_DEFAULTS";"LANGUAGE";"TEXT_TYPE";"MARKING_TYPE";"MARKING_BOX_NUMBER";"EXPORTED";"ONE_LINE_FIELD";"USER_PATTERN";"CASE_MODE";"IDENTIFY_VALUE";"ERROR_LEVEL";"STANDARD_PATTERN";"CLEAN_IMAGE";"ALLOW_SPACES";"LOCALY_ADJUST";"VERIFICATION_LEVEL";"VERIFICATION_FRAGMENT";"GROUP_VERIFICATION_MODE";"BARCODETYPE";"INPUT_MASK";"PREDEFINED_FIELD_TYPE";"BOX_ID";"PARENT_RADIOGROUP_BOX_ID";"CUSTOM_DATA"
"";"";"FT_DEFAULT";"-1";"-1";"-1";"-1";"-1";"-1";"Russian";"TT_HANDPRINT";"MT_SIMPLEMONOSPACE";"-1";"-1";"-1";"";"CM_AUTO";"";"";"1";"1";"0";"-1";"VL_ERRORS_ONLY";"";"0";"";"";"";"-1";"-1";"0"
"q_05";"q_05";"FT_CHECKMARK";"2307";"251";"2374";"317";"0";"0";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"VL_ERRORS_ONLY";"";"-1";"";"";"";"743";"-1";"0"
"q_11";"q_11";"FT_CHECKMARK";"2307";"456";"2375";"522";"1";"0";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"VL_ERRORS_ONLY";"";"-1";"";"";"";"723";"-1";"0"
"q_12";"q_12";"FT_CHECKMARK";"2307";"562";"2375";"628";"2";"0";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"VL_ERRORS_ONLY";"";"-1";"";"";"";"724";"-1";"0"
"q_13";"q_13";"FT_CHECKMARK";"2307";"663";"2375";"729";"3";"0";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"VL_ERRORS_ONLY";"";"-1";"";"";"";"725";"-1";"0"
"q_14";"q_14";"FT_CHECKMARK";"2307";"775";"2374";"841";"4";"0";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"VL_ERRORS_ONLY";"";"-1";"";"";"";"986";"-1";"0"
"q_15";"q_15";"FT_CHECKMARK";"2309";"886";"2376";"954";"5";"0";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"VL_ERRORS_ONLY";"";"-1";"";"";"";"1065";"-1";"0"
"q_16";"q_16";"FT_CHECKMARK";"2307";"989";"2374";"1055";"6";"0";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"VL_ERRORS_ONLY";"";"-1";"";"";"";"1066";"-1";"0"
"q_17";"q_17";"FT_CHECKMARK";"2307";"1090";"2374";"1156";"7";"0";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"VL_ERRORS_ONLY";"";"-1";"";"";"";"1067";"-1";"0"
"q_18";"q_18";"FT_CHECKMARK";"2310";"1196";"2374";"1265";"8";"0";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"VL_ERRORS_ONLY";"";"-1";"";"";"";"1068";"-1";"0"
"q_19";"q_19";"FT_CHECKMARK";"2310";"1298";"2374";"1367";"9";"0";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"VL_ERRORS_ONLY";"";"-1";"";"";"";"1069";"-1";"0"
