"FIELD_DBNAME";"RULE_ID";"RULE_IN";"RULE_OUT"
"Время_входа_18";"302034";"0";"1"
"Время_выхода_18";"302037";"1";"0"
"Время_входа_18";"302037";"1";"0"
"Время_выхода_часы_19";"302040";"1";"0"
"Время_выхода_минуты_19";"302040";"1";"0"
"Время_выхода_19";"302040";"0";"1"
"Время_входа_часы_19";"302043";"1";"0"
"Время_входа_минуты_19";"302043";"1";"0"
"Время_входа_19";"302043";"0";"1"
"Время_выхода_19";"302046";"1";"0"
"Время_входа_19";"302046";"1";"0"
"Время_выхода_часы_20";"302049";"1";"0"
"Время_выхода_минуты_20";"302049";"1";"0"
"Время_выхода_20";"302049";"0";"1"
"Время_входа_часы_20";"302052";"1";"0"
"Время_входа_минуты_20";"302052";"1";"0"
"Время_входа_20";"302052";"0";"1"
"Время_выхода_20";"302055";"1";"0"
"Время_входа_20";"302055";"1";"0"
"Регион";"302058";"1";"0"
"Код_ОУ";"302061";"1";"0"
"Код_ППЭ";"302064";"1";"0"
"Аудитория";"302067";"1";"0"
"Дата";"302070";"1";"1"
"Код_предмета";"302073";"1";"0"
"Регистрационный код";"302076";"1";"0"
"Бланк_регистрации_01";"302079";"1";"0"
"Бланк_регистрации_02";"302082";"1";"0"
"Бланк_регистрации_03";"302085";"1";"0"
"Бланк_регистрации_04";"302088";"1";"0"
"Бланк_регистрации_05";"302091";"1";"0"
"Бланк_регистрации_06";"302094";"1";"0"
"Бланк_регистрации_07";"302097";"1";"0"
"Бланк_регистрации_08";"302100";"1";"0"
"Бланк_регистрации_09";"302103";"1";"0"
"Бланк_регистрации_10";"302106";"1";"0"
"Бланк_регистрации_11";"302109";"1";"0"
"Бланк_регистрации_12";"302112";"1";"0"
"Бланк_регистрации_13";"302115";"1";"0"
"Бланк_регистрации_14";"302118";"1";"0"
"Бланк_регистрации_15";"302121";"1";"0"
"Бланк_регистрации_16";"302124";"1";"0"
"Бланк_регистрации_17";"302127";"1";"0"
"Бланк_регистрации_18";"302130";"1";"0"
"Бланк_регистрации_19";"302133";"1";"0"
"Бланк_регистрации_20";"302136";"1";"0"
"Страница";"302139";"1";"0"
