"FIELD_DBNAME";"FIELD_NAME";"FIELD_TYPE";"LEFT";"TOP";"RIGHT";"BOTTOM";"NUMBER";"USE_DEFAULTS";"LANGUAGE";"TEXT_TYPE";"MARKING_TYPE";"MARKING_BOX_NUMBER";"EXPORTED";"ONE_LINE_FIELD";"USER_PATTERN";"CASE_MODE";"IDENTIFY_VALUE";"ERROR_LEVEL";"STANDARD_PATTERN";"CLEAN_IMAGE";"ALLOW_SPACES";"LOCALY_ADJUST";"VERIFICATION_LEVEL";"VERIFICATION_FRAGMENT";"GROUP_VERIFICATION_MODE";"BARCODETYPE";"INPUT_MASK";"PREDEFINED_FIELD_TYPE";"BOX_ID";"PARENT_RADIOGROUP_BOX_ID";"CUSTOM_DATA"
"";"";"FT_DEFAULT";"-1";"-1";"-1";"-1";"-1";"-1";"Russian";"TT_HANDPRINT";"MT_SIMPLEMONOSPACE";"-1";"-1";"-1";"";"CM_AUTO";"";"";"1";"0";"1";"-1";"VL_ERRORS_ONLY";"";"0";"";"";"";"-1";"-1";"0"
"Регион";"Регион";"FT_TEXT";"90";"172";"266";"272";"0";"0";"Русский\Число\Положительное целое (только цифры)";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_AUTO";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"1";"";"";"";"45";"-1";"0"
"Код_ОУ";"Код_ОУ";"FT_TEXT";"276";"173";"515";"275";"1";"0";"Русский\Число\Положительное целое (только цифры)";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_AUTO";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"1";"";"";"";"46";"-1";"0"
"Код_ППЭ";"Код_ППЭ";"FT_TEXT";"531";"172";"770";"270";"2";"0";"Русский\Число\Положительное целое (только цифры)";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_AUTO";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"1";"";"";"";"47";"-1";"0"
"Аудитория";"Аудитория";"FT_TEXT";"825";"180";"1104";"268";"3";"0";"Русский\Число\Положительное целое (только цифры)";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_AUTO";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"1";"";"";"";"48";"-1";"0"
"Код_предмета";"Код_предмета";"FT_TEXT";"1140";"178";"1302";"270";"4";"0";"Русский\Число\Положительное целое (только цифры)";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_AUTO";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"1";"";"";"";"49";"-1";"0"
"Название_предмета";"Название_предмета";"FT_TEXT";"1331";"176";"1628";"270";"5";"0";"Русский\Название_предмета";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_AUTO";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"0";"";"";"";"50";"-1";"0"
"Дата";"Дата";"FT_TEXT";"1677";"178";"2382";"272";"6";"0";"Русский\Дата\Полная дата\ДД-ММ-ГГГГ";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_AUTO";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"0";"";"";"";"51";"-1";"0"
"Страница";"Страница";"FT_TEXT";"2214";"440";"2340";"520";"7";"0";"Русский\Число\Положительное целое (только цифры)";"TT_HANDPRINT";"MT_SIMPLEMONOSPACE";"0";"1";"1";"";"CM_AUTO";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"1";"";"";"";"65";"-1";"0"
"Бланк_регистрации_01";"Бланк_регистрации_01";"FT_TEXT";"866";"658";"1640";"740";"8";"0";"Русский\Число\Положительное целое (только цифры)";"TT_HANDPRINT";"MT_SIMPLEMONOSPACE";"0";"1";"1";"";"CM_AUTO";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WORD";"1";"";"";"";"67";"-1";"0"
