"FIELD_DBNAME";"FIELD_NAME";"FIELD_TYPE";"LEFT";"TOP";"RIGHT";"BOTTOM";"NUMBER";"USE_DEFAULTS";"LANGUAGE";"TEXT_TYPE";"MARKING_TYPE";"MARKING_BOX_NUMBER";"EXPORTED";"ONE_LINE_FIELD";"USER_PATTERN";"CASE_MODE";"IDENTIFY_VALUE";"ERROR_LEVEL";"STANDARD_PATTERN";"CLEAN_IMAGE";"ALLOW_SPACES";"LOCALY_ADJUST";"VERIFICATION_LEVEL";"VERIFICATION_FRAGMENT";"GROUP_VERIFICATION_MODE";"BARCODETYPE";"INPUT_MASK";"PREDEFINED_FIELD_TYPE";"BOX_ID";"PARENT_RADIOGROUP_BOX_ID";"CUSTOM_DATA"
"";"";"FT_DEFAULT";"-1";"-1";"-1";"-1";"-1";"-1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"-1";"-1";"-1";"";"CM_SMALL";"";"";"1";"0";"1";"-1";"VL_ALL_CHARS";"";"1";"";"";"";"-1";"-1";"0"
"Номер_изображения";"Номер_изображения";"FT_PREDEFINED";"230";"149";"288";"204";"0";"-1";"";"";"";"-1";"1";"-1";"";"";"";"";"-1";"-1";"-1";"-1";"";"";"-1";"";"";"PFT_PAGE_NUMBER";"188";"-1";"0"
"Регион";"Регион";"FT_TEXT";"622";"209";"776";"296";"1";"0";"Русский\Служебные\2_Цифры";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ERRORS_ONLY";"VF_WHOLLY";"0";"";"";"";"189";"-1";"0"
"Код_предмета";"Код_предмета";"FT_TEXT";"978";"210";"1164";"293";"2";"0";"Русский\Служебные\2_Цифры";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ERRORS_ONLY";"VF_WHOLLY";"0";"";"";"";"190";"-1";"0"
"Название_предмета";"Название_предмета";"FT_TEXT";"1350";"208";"2475";"300";"3";"0";"Текстовое поле\Экзамен";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"0";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"1";"0";"VL_ERRORS_ONLY";"VF_WHOLLY";"0";"";"";"";"191";"-1";"0"
"Номер_протокола";"Номер_протокола";"FT_TEXT";"2671";"206";"3268";"297";"4";"0";"Русский\Служебные\7_цифр (Протокол)";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ERRORS_ONLY";"VF_WHOLLY";"0";"";"";"";"192";"-1";"0"
"Код_эксперта";"Код_эксперта";"FT_TEXT";"2671";"301";"3269";"392";"5";"0";"Русский\Служебные\Только цифры";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ERRORS_ONLY";"VF_WHOLLY";"0";"";"";"";"195";"-1";"0"
"Фамилия";"Фамилия";"FT_TEXT";"627";"303";"2412";"401";"6";"0";"Русский\ФИО\Полное\Фамилия И.О.";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"1";"0";"VL_ERRORS_ONLY";"VF_WHOLLY";"0";"";"";"";"193";"-1";"0"
"Примечание";"Примечание";"FT_TEXT";"642";"400";"3286";"490";"7";"0";"Russian";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"0";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"1";"0";"VL_NONE";"VF_WHOLLY";"1";"";"";"";"8720";"-1";"0"
"Номер_бланка_01";"Номер_бланка_01";"FT_TEXT";"248";"974";"745";"1090";"8";"0";"Русский\Служебные\13_цифр";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_MINIMAL";"1";"1";"0";"1";"VL_ERRORS_ONLY";"VF_WHOLLY";"0";"";"";"";"196";"-1";"0"
"С_0101";"С_0101";"FT_TEXT";"786";"975";"874";"1087";"9";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"197";"-1";"0"
"С_0102";"С_0102";"FT_TEXT";"917";"977";"1004";"1085";"10";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"198";"-1";"0"
"С_0103";"С_0103";"FT_TEXT";"1046";"977";"1136";"1085";"11";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"199";"-1";"0"
"С_0104";"С_0104";"FT_TEXT";"1181";"977";"1268";"1086";"12";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"200";"-1";"0"
"С_0105";"С_0105";"FT_TEXT";"1312";"978";"1397";"1086";"13";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"201";"-1";"0"
"С_0106";"С_0106";"FT_TEXT";"1442";"977";"1528";"1086";"14";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"202";"-1";"0"
"С_0107";"С_0107";"FT_TEXT";"1575";"977";"1662";"1086";"15";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"203";"-1";"0"
"С_0108";"С_0108";"FT_TEXT";"1706";"977";"1792";"1083";"16";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"204";"-1";"0"
"С_0109";"С_0109";"FT_TEXT";"1836";"979";"1923";"1084";"17";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"205";"-1";"0"
"С_0110";"С_0110";"FT_TEXT";"1968";"978";"2055";"1085";"18";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"206";"-1";"0"
"С_0111";"С_0111";"FT_TEXT";"2099";"979";"2187";"1085";"19";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"8791";"-1";"0"
"С_0112";"С_0112";"FT_TEXT";"2231";"978";"2317";"1085";"20";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"8792";"-1";"0"
"С_0113";"С_0113";"FT_TEXT";"2361";"977";"2447";"1084";"21";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"209";"-1";"0"
"С_0114";"С_0114";"FT_TEXT";"2494";"979";"2580";"1084";"22";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"210";"-1";"0"
"С_0115";"С_0115";"FT_TEXT";"2622";"978";"2709";"1084";"23";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"211";"-1";"0"
"С_0116";"С_0116";"FT_TEXT";"2754";"978";"2840";"1086";"24";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"212";"-1";"0"
"С_0117";"С_0117";"FT_TEXT";"2885";"979";"2976";"1084";"25";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"213";"-1";"0"
"С_0118";"С_0118";"FT_TEXT";"3018";"980";"3104";"1084";"26";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"214";"-1";"0"
"С_0119";"С_0119";"FT_TEXT";"3150";"978";"3238";"1084";"27";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"215";"-1";"0"
"С_0120";"С_0120";"FT_TEXT";"3278";"977";"3368";"1084";"28";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"216";"-1";"0"
"Номер_бланка_02";"Номер_бланка_02";"FT_TEXT";"248";"1091";"743";"1207";"29";"0";"Русский\Служебные\13_цифр";"TT_STR_NORMAL";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_MINIMAL";"1";"1";"0";"1";"VL_ERRORS_ONLY";"VF_WHOLLY";"0";"";"";"";"208";"-1";"0"
"С_0201";"С_0201";"FT_TEXT";"785";"1099";"874";"1206";"30";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"220";"-1";"0"
"С_0202";"С_0202";"FT_TEXT";"916";"1098";"1004";"1205";"31";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"221";"-1";"0"
"С_0203";"С_0203";"FT_TEXT";"1049";"1098";"1133";"1204";"32";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"222";"-1";"0"
"С_0204";"С_0204";"FT_TEXT";"1181";"1098";"1267";"1205";"33";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"223";"-1";"0"
"С_0205";"С_0205";"FT_TEXT";"1310";"1099";"1397";"1208";"34";"1";"Русский\Служебные\Оценка";"TT_HANDPRINT";"MT_SIMPLETEXT";"0";"1";"1";"";"CM_SMALL";"";"EL_STANDARD";"1";"1";"0";"1";"VL_ALL_CHARS";"VF_WHOLLY";"1";"";"";"";"224";"-1";"0"
