Регион;Код_ОУ;Код_ППЭ;Количество_аудиторий;Дата;CertificateNum;StartTime;EndTime;q_01;q_1;q_2;q_3;q_4;q_5;q_6;q_7;q_8;q_9;q_10;q_02;q_03;q_04;Регистрационный код;IDCode;Номер_изображения
38;777;8770;3;10-04-2019;;:;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;31661582;630879;1
38;777;8770;3;10-04-2019;;:;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;31661582;713882;3
