"RULE_ID";"RULE_NAME";"RULE_TYPE";"RULE_CERTAIN";"RULE_ENABLED";"RULE_TYPE_NAME"
"128863";"BarCode";"CExpressionRule";"1";"0";"Проверка с условием"
"128866";"BarCode_Symbol";"CRegularExpressionRule";"0";"1";"Регулярное выражение"
"128869";"Очистка лок.номера";"CExpressionRule";"0";"0";"Проверка с условием"
"128872";"Первый лист";"CExpressionRule";"0";"1";"Проверка с условием"
"128875";"BarCode1";"CExpressionRule";"0";"1";"Проверка с условием"
